,year,country_code,reported_cases,region_x,reported_deaths,region_y,rainfall,temperature,population,country_name_x,percent_agg,percent_urb,country_name_y,gdp_per_cap,country_name,pop_density,incidence
2,2013,IRQ,0.0,EMR,0.0,EMR,16.434735,21.970020833333333,33883145.0,Iraq,21.26312396,69.262,Iraq,6925.224045999999,Iraq,78.0,0.0
8,2010,TKM,0.0,EUR,0.0,EUR,11.641330833333335,16.756224166666666,5087210.0,Turkmenistan,72.35120124,48.402,Turkmenistan,4439.2029999999995,Turkmenistan,10.8,0.0
9,2011,UZB,0.0,EUR,0.0,EUR,16.376151666666665,12.755088333333333,29339400.0,Uzbekistan,62.59990597,36.173,Uzbekistan,1564.966945,Uzbekistan,68.3,3.32e-18
11,2005,TKM,1.0,EUR,0.0,EUR,13.72479333333333,16.508073333333332,4754641.0,Turkmenistan,74.22382057,47.048,Turkmenistan,1704.51475,Turkmenistan,10.1,0.020481907
12,2013,TJK,3.0,EUR,0.0,EUR,38.393568333333334,4.465917499999999,8177809.0,Tajikistan,33.93826808,26.621,Tajikistan,1040.2144119999998,Tajikistan,58.4,0.21904808399999998
13,2010,UZB,3.0,EUR,0.0,EUR,14.981083333333332,14.028852500000001,28562400.0,Uzbekistan,62.69393512,36.191,Uzbekistan,1377.08214,Uzbekistan,67.2,0.011101605
15,2008,GEO,6.0,EUR,0.0,EUR,68.22993333333334,7.182551666666666,4030000.0,Georgia,36.17786732,52.625,Georgia,3174.949001,Georgia,62.5,7.320000000000001e-58
16,2010,JAM,12.0,AMR,0.0,AMR,309.84796666666665,24.521958333333334,2817210.0,Jamaica,40.99722992,53.743,Jamaica,4682.521248,Jamaica,260.1,0.0
17,2012,SLV,13.0,AMR,0.0,AMR,137.05937333333335,24.351866666666666,6221246.0,El Salvador,75.86872587,65.28699999999999,El Salvador,3827.786267,El Salvador,300.3,9.32e-33
19,2009,JAM,22.0,AMR,0.0,AMR,110.99173333333333,24.940924999999996,2804082.0,Jamaica,41.45891043,53.556999999999995,Jamaica,4293.322822,Jamaica,258.9,0.0
20,2014,SAU,30.0,EMR,0.0,EMR,6.357196666666667,25.78719166666667,30776722.0,Saudi Arabia,80.77778656,82.926,Saudi Arabia,24575.40304,Saudi Arabia,14.3,0.0
21,2012,BLZ,33.0,AMR,0.0,AMR,168.57029166666666,25.733749999999997,336701.0,Belize,7.014467338999999,44.496,Belize,4673.63848,Belize,14.8,26.12043833
22,2012,DZA,55.0,AFR,0.0,AFR,7.057975,23.61825,37565847.0,Algeria,17.38149,68.87,Algeria,5565.134521,Algeria,15.8,0.03591078
