,year,country_code,reported_cases,region_x,reported_deaths,region_y,population,tx_resistance,tx_resistance_int,number_nets,point_prevalence
0,2001,EGY,0.0,EMR,,,71226940.0,,0.0,0.0,0.0
1,2003,EGY,0.0,EMR,,,73981942.0,,0.0,0.0,0.0
2,2013,IRQ,0.0,EMR,0.0,EMR,33883145.0,,0.0,0.0,0.0
3,2004,OMN,0.0,EMR,,,2444751.0,,0.0,0.0,0.0
4,2012,SYR,0.0,EMR,1.0,EMR,20420701.0,,0.0,0.0,0.0
5,2014,SYR,0.0,EMR,4.0,EMR,19203090.0,,0.0,0.0,0.0
6,2011,KGZ,0.0,EUR,1.0,EUR,5514600.0,Not tested/reported,0.0,0.0,0.0
7,2013,KGZ,0.0,EUR,0.0,EUR,5719600.0,Not tested/reported,0.0,0.0,0.0
8,2010,TKM,0.0,EUR,0.0,EUR,5087210.0,,0.0,0.0,0.0
9,2011,UZB,0.0,EUR,0.0,EUR,29339400.0,Not tested/reported,0.0,0.0,0.0
10,2004,SYR,1.0,EMR,,,17806638.0,,0.0,0.0,5.6158832453380585e-08
11,2005,TKM,1.0,EUR,0.0,EUR,4754641.0,,0.0,0.0,2.103208212775686e-07
12,2013,TJK,3.0,EUR,0.0,EUR,8177809.0,Not tested/reported,0.0,0.0,3.6684642549122875e-07
13,2010,UZB,3.0,EUR,0.0,EUR,28562400.0,Not tested/reported,0.0,0.0,1.0503319048819427e-07
14,2003,OMN,6.0,EMR,,,2385255.0,,0.0,0.0,2.5154543224938215e-06
15,2008,GEO,6.0,EUR,0.0,EUR,4030000.0,,0.0,0.0,1.488833746898263e-06
16,2010,JAM,12.0,AMR,0.0,AMR,2817210.0,,0.0,0.0,4.259533368119523e-06
17,2012,SLV,13.0,AMR,0.0,AMR,6221246.0,Not tested/reported,0.0,0.0,2.0896135597274243e-06
18,2013,CPV,22.0,AFR,0.0,AFR,520106.0,Not tested/reported,0.0,0.0,4.229906980500129e-05
19,2009,JAM,22.0,AMR,0.0,AMR,2804082.0,,0.0,0.0,7.845704940155102e-06
20,2014,SAU,30.0,EMR,0.0,EMR,30776722.0, Not tested/reported,0.0,0.0,9.747626794042588e-07
21,2012,BLZ,33.0,AMR,0.0,AMR,336701.0,Not tested/reported,0.0,0.0,9.800980692068037e-05
22,2012,DZA,55.0,AFR,0.0,AFR,37565847.0,Not tested/reported,0.0,0.0,1.4640958315141942e-06
23,2012,SWZ,57.0,AFR,3.0,AFR,1248158.0,Not tested/reported,0.0,0.0,4.5667295326392974e-05
24,2011,BLZ,72.0,AMR,0.0,AMR,329192.0,Not tested/reported,0.0,0.0,0.00021871734428540184
25,2006,UZB,73.0,EUR,0.0,EUR,26488250.0,Not tested/reported,0.0,0.0,2.755938954064538e-06
26,2004,KGZ,93.0,EUR,0.0,EUR,5104700.0,Not tested/reported,0.0,0.0,1.8218504515446548e-05
27,2006,RUS,102.0,EUR,4.0,EUR,143049528.0,,0.0,0.0,7.130397522178472e-07
28,2000,UZB,126.0,EUR,0.0,EUR,24650400.0,Not tested/reported,0.0,0.0,5.111478921234544e-06
29,2008,ARG,130.0,AMR,0.0,AMR,40382389.0,Not tested/reported,0.0,0.0,3.2192250933940536e-06
30,2011,BTN,194.0,SEAR,1.0,SEAR,740510.0,Not tested/reported,0.0,0.0,0.0002619816072706648
31,2011,BTN,194.0,SEAR,1.0,SEAR,740510.0,No,0.0,0.0,0.0002619816072706648
32,2007,LKA,198.0,SEAR,1.0,SEAR,19668000.0,Not tested/reported,0.0,0.0,1.0067114093959732e-05
33,2009,CRI,262.0,AMR,1.0,AMR,4488263.0,Not tested/reported,0.0,0.0,5.837447582728552e-05
34,2014,SWZ,269.0,AFR,4.0,AFR,1295097.0, Not tested/reported,0.0,0.0,0.0002077064497871588
35,2014,TLS,342.0,SEAR,1.0,SEAR,1212814.0,No,0.0,0.0,0.00028198882928462236
36,2008,PRY,348.0,AMR,0.0,AMR,6047117.0,Not tested/reported,0.0,0.0,5.754808448389538e-05
37,2010,PAN,418.0,AMR,1.0,AMR,3643222.0,Not tested/reported,0.0,0.0,0.00011473360668111908
38,2010,BTN,436.0,SEAR,2.0,SEAR,727641.0,Not tested/reported,0.0,0.0,0.0005991965818308754
39,2010,BTN,436.0,SEAR,2.0,SEAR,727641.0,No,0.0,0.0,0.0005991965818308754
40,2003,RUS,533.0,EUR,4.0,EUR,144648257.0,,0.0,0.0,3.6848007093510983e-06
41,2012,ECU,544.0,AMR,1.0,AMR,15419666.0,Yes,1.0,0.0,3.5279622788197876e-05
42,2012,ECU,544.0,AMR,1.0,AMR,15419666.0,Not tested/reported,0.0,0.0,3.5279622788197876e-05
43,2010,LKA,684.0,SEAR,0.0,SEAR,20119000.0,Not tested/reported,0.0,0.0,3.3997713604055865e-05
44,2004,PRY,694.0,AMR,0.0,AMR,5703740.0,Not tested/reported,0.0,0.0,0.00012167455038273133
45,2012,MEX,833.0,AMR,0.0,AMR,120828307.0,Not tested/reported,0.0,0.0,6.894079878153055e-06
46,2012,PAN,844.0,AMR,1.0,AMR,3772938.0,Not tested/reported,0.0,0.0,0.00022369834860790186
47,2009,BTN,972.0,SEAR,4.0,SEAR,714458.0,Not tested/reported,0.0,0.0,0.0013604718541887697
48,2009,BTN,972.0,SEAR,4.0,SEAR,714458.0,No,0.0,0.0,0.0013604718541887697
49,2010,DJI,1010.0,EMR,0.0,EMR,851146.0,Not tested/reported,0.0,0.0,0.0011866354303491998
50,2001,BLZ,1162.0,AMR,0.0,AMR,254984.0,Not tested/reported,0.0,0.0,0.004557148683838986
51,2003,KOR,1171.0,WPR,0.0,WPR,47892330.0,Not tested/reported,0.0,0.0,2.4450679263255725e-05
52,2006,TJK,1316.0,EUR,0.0,EUR,7000557.0,Not tested/reported,0.0,0.0,0.00018798504176167696
53,2014,BWA,1346.0,AFR,22.0,AFR,2168573.0, Not tested/reported,0.0,0.0,0.0006206846622179655
