country_name,country_code,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
Afghanistan,AFG,640,923,2658,2112,2551,3919,8412,12078,36996,77715,82360,62618,60546,80557,127042,59987,44311,34444,47285,67668,110309,118684,155720,277815,377808,428128,378896,257282,317479,297605,na,na,na,na,303955,na
Albania,ALB,na,na,na,18,14,1,0,0,0,2,1,0,0,0,1,4,0,na,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Algeria,DZA,na,na,2445,5179,4951,na,12530,8602,4002,1541,1940,3248,1095,170,90,58,30,73,36,67,71,42,32,44,32,64,188,129,152,229,106,84,206,107,221,197
Angola,AGO,142489,162934,132682,160561,179666,188122,186567,197061,162091,154169,166783,na,166897,na,103402,301405,610555,522358,797688,na,1209000,835000,811000,840000,926000,1021000,1155000,935000,243673,1143701,782988,722981,667376,156603,na,na
Antigua and Barb,ATG,0,0,0,0,na,na,na,na,na,na,0,na,0,1,0,1,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Argentina,ARG,4708,845,554,387,413,1624,580,247,86,518,358,814,171,100,70,463,325,936,341,323,567,535,437,774,2000,1521,666,1620,1660,803,643,758,948,1065,2048,592
Armenia,ARM,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7,16,6,6,9,7,8,3,0,0,0,0,196,502,347,841
Bahamas,BHS,4,2,4,1,0,0,0,0,0,0,0,0,1,0,1,na,2,14,3,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Bahrain,BHR,15,5,4,17,27,22,6,3,38,19,12,77,64,178,573,592,460,273,256,274,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Bangladesh,BGD,na,na,740,na,4668,4267,5556,7351,8173,2939,18469,14007,16846,31247,48844,28855,33326,49776,67727,45902,38204,40303,31787,30250,41408,35848,32643,48264,53875,63575,115660,125361,166564,152729,100783,68594
Barbados,BRB,na,0,na,na,na,na,0,na,0,0,0,0,0,0,7,1,2,2,1,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Belize,BLZ,20,17,35,206,552,374,39,28,33,33,86,99,96,90,199,894,1218,1391,1529,2041,3868,4595,4117,2800,2779,3258,2725,3285,3033,3317,5341,8586,9957,9413,6605,4014
Benin,BEN,69882,56528,77763,94257,107643,99297,106027,106187,107374,114920,na,125445,91726,103639,140157,127819,133148,122405,131909,142872,96906,na,160249,195659,151105,446820,196669,190429,92870,118796,290868,403327,546827,579300,623396,670857
Bermuda,BMU,0,0,0,0,0,1,0,na,0,0,0,1,1,0,na,na,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Bhutan,BTN,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8035,3328,3483,5375,na,na,5583,5213,18368,15999,19916,13134,11134,19162,9497,22126,28900,28116,38901,23195,15696,9029
Bolivia,BOL,2010,2345,3454,941,1373,1442,1998,4371,6791,8045,4256,7650,4936,6616,6714,10106,10897,14712,16619,9774,6699,14441,16338,14354,20993,24891,22258,25367,19680,19031,24486,27475,34749,46911,64012,51478
Botswana,BWA,224,137,470,76,53,571,814,1046,na,1079,na,1613,7558,6902,7895,2559,1904,5954,2773,na,715,na,na,1941,3082,1261,38270,18350,10750,14364,4995,55331,29591,17599,na,na
Brazil,BRA,72060,111417,111278,110306,108630,102842,81324,56951,54644,80294,85325,79161,66481,88630,89959,104436,121577,147630,176237,205544,221939,297687,378257,401904,443627,508864,559535,577520,560396,614431,609860,466190,564406,565727,455194,392976
Brunei,BRN,na,4,2,96,23,23,9,4,11,15,15,13,12,17,10,10,11,18,19,12,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Burkina Faso,BFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305986,na,na,519782,576958,560472,583937,594601,496513,448917,420186,502275,472355,501020,na,na
Burundi,BDI,na,na,95118,na,106387,97520,82547,108136,na,103107,92303,na,na,na,na,na,68615,94049,79181,na,159080,na,na,na,na,na,na,na,511611,568938,773539,828429,831481,932794,na,na
Cambodia,KHM,2475,2213,2606,19661,2583,3275,38333,20895,3660,9049,19323,16481,18715,na,na,na,n,na,na,na,39978,41590,49585,111272,167245,63100,70091,119475,123796,115701,91000,99189,85012,78374,73160,114793
Cameroon,CMR,179417,643869,445505,214341,254889,965603,768035,366349,221988,464133,82927,153143,95502,48014,na,na,31584,na,na,na,407326,503227,916840,908789,827518,914265,825231,607324,869048,787796,664413,478693,189066,784321,931311,645309
Cape Verde,CPV,555,150,43,34,69,21,na,na,na,11,16,193,104,112,23,139,844,621,213,na,47,9,10,12,75,434,814,183,69,80,38,44,21,127,77,20
Central Africa Republic,CAF,55872,62519,23805,19954,56134,41819,177670,120206,74953,na,77459,90067,102108,55913,134175,137989,165589,167346,na,na,107034,79657,35127,909911,117618,174418,106277,na,174436,125038,89930,82072,82057,na,na,na
Chad,TCD,280,79213,82376,107335,101042,87858,99006,125498,127487,148740,142496,121776,132815,167275,204093,186682,94545,na,na,na,10391,24707,53085,51210,40917,158727,185784,201160,212554,246410,229444,234869,278225,293564,278040,343186
Chile,CHL,1,0,na,na,na,na,na,na,na,na,na,na,na,0,1,0,0,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
China,CHN,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,4193763,3096240,2384543,3300349,3059653,2041359,265190,255482,201129,363651,106665,93170,88569,86628,83001,73955,68594,68612,47188,33382,26816
Colombia,COL,17497,17898,14729,18888,22148,26530,25527,34230,32272,22402,30997,56494,22406,32690,39022,63888,53412,60957,57346,60972,78601,105360,55268,55791,89251,90014,100850,100286,99489,184156,184023,129377,127218,187082,135923,180898
Comoros,COM,na,7715,4635,na,na,5016,na,na,8166,5039,na,na,3363,na,30352,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Congo,COG,56294,43880,81313,104746,124203,142848,151550,161673,149981,178600,149418,159784,119070,175653,169153,na,164046,147521,na,na,46199,51406,67228,372951,62729,13098,21914,29851,32428,32391,21121,15504,35957,28008,14000,9491
Costa Rica,CRI,1583,1228,1212,2563,3047,4444,1191,688,351,257,159,161,152,290,473,217,313,307,376,168,110,245,569,734,790,883,1016,699,1151,3273,6951,5033,4445,4515,5480,4712
Cote d'ivoire,CIV,151088,50940,na,375636,na,525467,na,na,na,181608,na,43430,na,na,na,na,124899,349046,na,na,na,527223,611418,673419,554639,520417,636111,641618,511916,466895,553875,421043,na,755812,1109011,983089
Cuba,CUB,3515,833,624,131,36,46,4,3,1,7,34,8,38,87,162,168,158,295,307,573,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Djibouti,DJI,387,387,58,53,33,67,130,17,16,14,26,65,67,96,147,113,316,123,69,640,60,54,68,287,na,823,2872,1834,3237,7300,7468,1007,6140,3359,6105,4314
Dominica,DMA,0,0,0,0,0,0,0,0,na,0,0,0,na,3,0,0,0,na,na,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Dominican Rep.,DOM,548,386,321,84,429,127,21,124,161,277,261,569,520,159,586,745,1531,3080,4780,3596,4654,3801,2370,816,1360,1206,1072,1275,356,377,698,987,1670,1808,1414,816
East Timor,TLS,na,na,na,na,50548,56629,63292,na,na,77620,64854,43680,na,na,na,na,n,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Ecuador,ECU,5531,3857,4728,4179,4736,10765,37043,50938,28373,9233,6709,6810,5841,6555,10974,11275,9815,8207,8748,12745,14633,51606,78599,68989,51430,63503,53607,23274,71670,59400,41089,46859,30006,18128,11882,16365
Egypt,EGY,96861,27282,14213,7130,2925,na,na,na,na,na,23097,5962,9421,1459,na,1038,832,474,na,na,423,198,194,72,63,33,225,192,75,24,16,17,527,322,25,11
El Salvador,SLV,15433,17846,25857,34070,68562,82960,35831,25299,45436,46858,38335,35095,66691,83100,83290,32243,52521,77976,95835,93187,86202,65377,66874,44473,23953,12834,9095,9605,9269,5933,4539,3887,2803,3362,5888,2719
Equatorial Guinea,GNQ,na,na,na,37333,47338,66513,na,51486,na,37454,na,na,na,1149,na,na,n,na,na,na,na,na,19036,na,na,10028,15935,22236,25552,22598,25100,17867,14827,12530,na,na
Eritrea,ERI,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,81183,na,na
Ethiopia,ETH,42332,48211,147407,35101,28312,21825,15978,16718,41259,36155,50190,58070,46330,na,46211,20977,35902,31658,na,na,110507,29437,59583,101578,na,na,na,na,na,na,206262,305616,358469,na,na,na
Fiji,FJI,1,0,0,0,3,1,0,3,3,na,0,0,2,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
French Guiana,GUF,70,70,48,22,12,25,43,52,117,116,192,484,351,319,394,488,266,604,831,769,1143,1051,1021,691,979,2221,3188,6284,5909,3573,4072,3974,4241,4711,4724,3195
