"Country Name","Country Code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Bangladesh","BGD","131581243","134107160","136600667","139019001","141307489","143431101","145368004","147139191","148805814","150454708","152149102","153911916","155727053","157571292","159405279",
"Bolivia","BOL","8339512","8496375","8653345","8810420","8967741","9125409","9283334","9441444","9599855","9758748","9918242","10078343","10239004","10400264","10562159",
"China","CHN","1262645000","1271850000","1280400000","1288400000","1296075000","1303720000","1311020000","1317885000","1324655000","1331260000","1337705000","1344130000","1350695000","1357380000","1364270000",
"Honduras","HND","6524283","6693061","6863157","7033821","7204153","7373430","7541406","7707972","7872658","8035021","8194778","8351600","8505646","8657785","8809216",
"Haiti","HTI","8549200","8692567","8834733","8976552","9119178","9263404","9409457","9556889","9705029","9852870","9999617","10145054","10289210","10431776","10572466",
"Lao PDR","LAO","5329304","5414568","5497273","5579656","5664605","5754026","5849356","5949787","6052190","6152036","6246274","6333487","6415169","6494557","6576397",
"Malaysia","MYS","23185608","23698907","24198811","24688703","25174109","25659393","26143566","26625845","27111069","27605383","28112289","28635128","29170456","29706724","30228017",
"Korea, Dem. People’s Rep.","PRK","22929075","23131810","23336681","23538540","23729498","23904167","24061097","24203289","24335146","24463021","24591599","24722298","24854034","24985976","25116363",
"Suriname","SUR","472390","477740","483044","488332","493630","498946","504307","509705","515148","520619","526103","531589","537077","542540","547928",
"Vietnam","VNM","77630900","78620500","79537700","80467400","81436400","82392100","83311200","84218500","85118700","86025000","86932500","87860300","88809200","89759500","90728900",
