"Country Name","Country Code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Dominican Republic","DOM","8562622","8697126","8832285","8967760","9102998","9237566","9371338","9504353","9636520","9767758","9897985","10027095","10154950","10281296","10405844",
"Guinea","GIN","8808546","8971139","9137345","9309848","9490229","9679745","9881428","10096727","10323142","10556524","10794170","11035170","11281469","11536615","11805509",
"Guatemala","GTM","11650743","11924946","12208848","12500478","12796925","13096028","13397008","13700286","14006366","14316208","14630417","14948919","15271056","15596214","15923559",
"Nicaragua","NIC","5026796","5100750","5171734","5240879","5309703","5379328","5450211","5522106","5594506","5666581","5737723","5807820","5877108","5945747","6013997",
"Nepal","NPL","23740911","24161777","24566342","24950623","25309449","25640287","25940618","26214847","26475859","26741103","27023137","27327147","27649925","27985310","28323241",
"Philippines","PHL","77991569","79665315","81352060","83031954","84678493","86274237","87809419","89293490","90751864","92220879","93726624","95277940","96866642","98481032","100102249",
"Sierra Leone","SLE","4564297","4739147","4957216","5199549","5439695","5658379","5848692","6015417","6165372","6310260","6458720","6611692","6766103","6922079","7079162",
"Sao Tome and Principe","STP","138606","141622","144889","148372","151969","155630","159328","163101","166913","170813","174776","178800","182889","187045","191266",
"Turkey","TUR","63240121","64191474","65143054","66085803","67007855","67903406","68763405","69597281","70440032","71339185","72326914","73409455","74569867","75787333","77030628",
"Vanuatu","VUT","185063","189290","193956","198964","204143","209370","214634","219953","225340","230785","236295","241871","247485","253142","258850",
"South Africa","ZAF","44896856","45312937","45855482.8828724","46418193.8989267","47001700.9913724","47606670.2439658","48233804.4849866","48883844.9909288","49557573.2955342","50255813.1102008","50979432.3622277","51729345.3578159","52506515.0772335","53311955.6100823","54146734.739162",
