"Country Name","Country Code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Argentina","ARG","37057452","37471509","37889370","38309379","38728696","39145488","39558890","39970224","40382389","40799407","41223889","41656879","42096739","42539925","42981515",
"Belize","BLZ","247315","254984","262206","269130","276089","283277","290747","298407","306165","313929","321608","329192","336701","344181","351694",
"Bhutan","BTN","573416","589600","606399","623434","640282","656639","672228","686958","700950","714458","727641","740510","752967","764961","776448",
"Botswana","BWA","1728340","1754935","1779953","1804339","1829330","1855852","1884238","1914414","1946351","1979882","2014866","2051339","2089315","2128507","2168573",
"Cabo Verde","CPV","435079","443716","452106","460147","467664","474567","480795","486438","491723","496963","502384","508067","513979","520106","526437",
"Costa Rica","CRI","3925443","3996798","4063204","4125971","4187038","4247841","4308794","4369469","4429508","4488263","4545280","4600474","4654122","4706401","4757575",
"Djibouti","DJI","717584","732711","746221","758615","770752","783254","796208","809402","822934","836840","851146","865937","881185","896688","912164",
"Algeria","DZA","31183660","31592153","31995046","32403514","32831096","33288437","33777915","34300076","34860715","35465760","36117637","36819558","37565847","38338562","39113313",
"Ecuador","ECU","12628596","12852755","13072060","13289601","13509647","13735233","13967480","14205453","14447562","14691275","14934690","15177355","15419666","15661547","15903112",
"Egypt, Arab Rep.","EGY","69905988","71226940","72590118","73981942","75381899","76778149","78159048","79537253","80953881","82465022","84107606","85897561","87813257","89807433","91812566",
"Georgia","GEO","4418300","4386400","4357000","4301000","4245000","4190000","4136000","4082000","4030000","3978000","3926000","3875000","3825000","3776000","3727000",
"Iran, Islamic Rep.","IRN","66131854","67096414","67983330","68812713","69617100","70421811","71227880","72031103","72845542","73687565","74567511","75491582","76453574","77435384","78411092",
"Iraq","IRQ","23565413","24251649","24939299","25627626","26316609","27008426","27697912","28390433","29111417","29894652","30762701","31727053","32776571","33883145","35006080",
"Jamaica","JAM","2656864","2677011","2695446","2712511","2728777","2744673","2760279","2775467","2790122","2804082","2817210","2829493","2840992","2851807","2862087",
"Kyrgyz Republic","KGZ","4898400","4945100","4990700","5043300","5104700","5162600","5218400","5268400","5318700","5383300","5447900","5514600","5607200","5719600","5835500",
"Korea, Rep.","KOR","47008111","47370164","47644736","47892330","48082519","48184561","48438292","48683638","49054708","49307835","49554112","49936638","50199853","50428893","50746659",
"Sri Lanka","LKA","18655000","18797000","18939000","19083000","19228000","19373000","19520000","19668000","19817000","19968000","20119000","20271000","20425000","20585000","20771000",
"Mexico","MEX","101719673","103067068","104355608","105640453","106995583","108472228","110092378","111836346","113661809","115505228","117318941","119090017","120828307","122535969","124221600",
"Oman","OMN","2267991","2294787","2334285","2385255","2444751","2511269","2582991","2662762","2759014","2882942","3041460","3237268","3464644","3711481","3960925",
"Panama","PAN","3030347","3089684","3149265","3209174","3269541","3330465","3391905","3453807","3516268","3579385","3643222","3707782","3772938","3838462","3903986",
"Paraguay","PRY","5302700","5406624","5508611","5607950","5703740","5795494","5882796","5966159","6047117","6127837","6209877","6293783","6379219","6465740","6552584",
"Russian Federation","RUS","146596557","145976083","145306046","144648257","144067054","143518523","143049528","142805088","142742350","142785342","142849449","142960868","143201676","143506911","143819666",
"Saudi Arabia","SAU","20764312","21303592","21906308","22556425","23228890","23905654","24578301","25252569","25940770","26661492","27425676","28238020","29086357","29944476","30776722",
"El Salvador","SLV","5867626","5905962","5940303","5971535","6000775","6028961","6056478","6083475","6110301","6137276","6164626","6192560","6221246","6250777","6281189",
"Swaziland","SWZ","1061468","1072927","1080930","1087392","1095053","1105873","1120514","1138434","1158897","1180675","1202843","1225258","1248158","1271456","1295097",
"Syrian Arab Republic","SYR","16410848","16766899","17087901","17415266","17806638","18294611","18914977","19632806","20325443","20824893","21018834","20863993","20420701","19809141","19203090",
"Tajikistan","TJK","6216205","6327125","6447688","6576877","6712841","6854176","7000557","7152385","7309728","7472819","7641630","7815949","7995062","8177809","8362745",
"Turkmenistan","TKM","4516131","4564080","4610002","4655741","4703398","4754641","4810105","4870137","4935762","5007950","5087210","5174061","5267839","5366277","5466241",
"Timor-Leste","TLS","871607","892531","923825","960852","996698","1026484","1048621","1064973","1078110","1092021","1109591","1131523","1156760","1184366","1212814",
"Uzbekistan","UZB","24650400","24964450","25271850","25567650","25864350","26167000","26488250","26868000","27302800","27767400","28562400","29339400","29774500","30243200","30757700",
