"Country Name","Country Code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Angola","AGO","16440924","16983266","17572649","18203369","18865716","19552542","20262399","20997687","21759420","22549547","23369131","24218565","25096150","25998340","26920466",
"Armenia","ARM","3069588","3050655","3033897","3017806","3000612","2981259","2958500","2933056","2908220","2888584","2877311","2875581","2881922","2893509","2906220",
"Azerbaijan","AZE","8048600","8111200","8171950","8234100","8306500","8391850","8484550","8581300","8763400","8947243","9054332","9173082","9295784","9416801","9535079",
"Benin","BEN","6865951","7076733","7295394","7520555","7750004","7982225","8216896","8454791","8696916","8944706","9199259","9460802","9729160","10004451","10286712",
"Bahamas, The","BHS","297890","303135","309157","315746","322526","329249","335830","342328","348676","354856","360832","366568","372039","377240","382169",
"Brazil","BRA","175287587","177750670","180151021","182482149","184738458","186917361","189012412","191026637","192979029","194895996","196796269","198686688","200560983","202408632","204213133",
"Cameroon","CMR","15274234","15671927","16084886","16513822","16959081","17420795","17899562","18395389","18907008","19432541","19970495","20520447","21082383","21655715","22239904",
"Congo, Dem. Rep.","COD","47076387","48394338","49835756","51390033","53034217","54751476","56543011","58417562","60373608","62409435","64523263","66713597","68978682","71316033","73722860",
"Comoros","COM","542357","555888","569479","583211","597228","611627","626425","641620","657229","673252","689692","706569","723868","741500","759385",
"Ethiopia","ETH","66537331","68492257","70497192","72545144","74624405","76727083","78850689","81000409","83184892","85416253","87702670","90046756","92444183","94887724","97366774",
"Equatorial Guinea","GNQ","614323","639762","666407","694611","724817","757317","792217","829327","868418","909111","951104","994290","1038593","1083746","1129424",
"India","IND","1053050912","1071477855","1089807112","1108027848","1126135777","1144118674","1161977719","1179681239","1197146906","1214270132","1230980691","1247236029","1263065852","1278562207","1293859294",
"Liberia","LBR","2884522","2991132","3062863","3116233","3176414","3261230","3375838","3512932","3662993","3811528","3948125","4070167","4181563","4286291","4390737",
"Mali","MLI","10967690","11293258","11638929","12005128","12391906","12798763","13227064","13675606","14138216","14606597","15075085","15540989","16006670","16477818","16962846",
"Mauritania","MRT","2709359","2790729","2873228","2957117","3042823","3130720","3220653","3312665","3407541","3506288","3609543","3717672","3830239","3946170","4063920",
"Malawi","MWI","11376172","11695863","12013711","12336687","12676038","13039711","13429262","13840969","14271234","14714602","15167095","15627618","16097305","16577147","17068838",
"Namibia","NAM","1899257","1933596","1962147","1986535","2009228","2032196","2055734","2079915","2106375","2137040","2173170","2215621","2263934","2316520","2370992",
"Nigeria","NGA","122352009","125463434","128666710","131972533","135393616","138939478","142614094","146417024","150347390","154402181","158578261","162877076","167297284","171829303","176460502",
"Pakistan","PAK","138523285","141601437","144654143","147703401","150780300","153909667","157093993","160332974","163644603","167049580","170560182","174184265","177911533","181712595","185546257",
"Senegal","SEN","9884052","10134497","10396861","10670990","10955944","11251266","11556763","11873557","12203957","12550917","12916229","13300910","13703513","14120320","14546111",
"South Sudan","SSD","6700656","6974442","7237276","7501642","7787655","8108877","8468152","8856800","9263136","9670667","10067192","10448857","10818258","11177490","11530971",
"Togo","TGO","4970367","5111770","5251472","5391401","5534598","5683268","5837792","5997385","6161796","6330472","6502952","6679282","6859482","7042948","7228915",
"Tanzania","TZA","34178042","35117019","36105808","37149072","38249984","39410545","40634948","41923715","43270144","44664231","46098591","47570902","49082997","50636595","52234869",
"Uganda","UGA","24039274","24854892","25718048","26624820","27568436","28543940","29550662","30590487","31663896","32771895","33915133","35093648","36306796","37553726","38833338",
"Venezuela, RB","VEN","24488340","24948476","25408700","25868523","26327225","26784161","27239168","27691965","28141701","28587323","29028033","29463291","29893080","30317848","30738378",
"Zambia","ZMB","10531221","10824125","11120409","11421984","11731746","12052156","12383446","12725974","13082517","13456417","13850033","14264756","14699937","15153210","15620974",
