"Country Name","Country Code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Afghanistan","AFG","20093756","20966463","21979923","23064851","24118979","25070798","25893450","26616792","27294031","28004331","28803167","29708599","30696958","31731688","32758020",
"Burundi","BDI","6400706","6555829","6741569","6953113","7182451","7423289","7675338","7939573","8212264","8489031","8766930","9043508","9319710","9600186","9891790",
"Burkina Faso","BFA","11607942","11944587","12293100","12654621","13030569","13421930","13829177","14252021","14689726","15141099","15605217","16081904","16571216","17072723","17585977",
"Central African Republic","CAF","3754986","3832203","3907612","3981665","4055036","4127910","4201758","4275800","4345386","4404230","4448525","4476153","4490416","4499653","4515392",
"Cote d'Ivoire","CIV","16686561","17040152","17366517","17679355","17997738","18336303","18699435","19085941","19497986","19936366","20401331","20895311","21418603","21966312","22531350",
"Congo, Rep.","COG","3225727","3315806","3407180","3502519","3605439","3718243","3842365","3976246","4115435","4253712","4386693","4512730","4633363","4751393","4871101",
"Colombia","COL","40403958","40988909","41572491","42152151","42724163","43285634","43835722","44374572","44901544","45416181","45918097","46406646","46881475","47342981","47791911",
"Eritrea","ERI","3392801","3497124","3614639","3738265","3858623","3969007","4066648","4153332","4232636","4310334","4390840","4474690","","","",
"Gabon","GAB","1231122","1262259","1294409","1328146","1364205","1403126","1444844","1489193","1536411","1586754","1640210","1697101","1756817","1817271","1875713",
"Ghana","GHA","18938762","19421605","19924522","20446782","20986536","21542009","22113425","22700212","23298640","23903831","24512104","25121796","25733049","26346251","26962563",
"Gambia, The","GMB","1231844","1270495","1311349","1354194","1398573","1444204","1491021","1539116","1588572","1639560","1692149","1746363","1802125","1859324","1917852",
"Guinea-Bissau","GNB","1243229","1267512","1293523","1321202","1350345","1380838","1412669","1445958","1480841","1517448","1555880","1596154","1638139","1681495","1725744",
"Guyana","GUY","753301","752263","751884","751857","751652","750946","749601","747869","746314","745693","746556","749100","753091","758081","763393",
"Indonesia","IDN","211540429","214506502","217508059","220545214","223614649","226712730","229838202","232989141","236159276","239340478","242524123","245707511","248883232","252032263","255131116",
"Kenya","KEN","31450483","32321482","33214009","34130852","35074931","36048288","37052050","38085909","39148416","40237204","41350152","42486839","43646629","44826849","46024250",
"Cambodia","KHM","12152354","12402473","12634729","12853124","13063377","13270201","13474489","13676693","13880509","14090208","14308740","14537886","14776866","15022692","15270790",
"Madagascar","MDG","15766806","16260932","16765117","17279141","17802997","18336724","18880268","19433523","19996469","20569121","21151640","21743949","22346573","22961146","23589801",
"Myanmar","MMR","46095462","46627994","47140220","47624894","48073707","48482614","48846474","49171586","49479752","49800690","50155896","50553031","50986514","51448196","51924182",
"Mozambique","MOZ","18067687","18588758","19139658","19716598","20312705","20923070","21547463","22188387","22846758","23524063","24221405","24939005","25676606","26434372","27212382",
"Niger","NER","11352973","11771976","12206002","12656870","13127012","13618449","14132064","14668338","15228525","15813913","16425578","17064636","17731634","18426372","19148219",
"Peru","PER","25914879","26261363","26601467","26937738","27273194","27610410","27949944","28292724","28641980","29001507","29373646","29759989","30158966","30565716","30973354",
"Papua New Guinea","PNG","5572222","5716152","5862316","6010724","6161517","6314709","6470272","6627922","6787187","6947447","7108239","7269348","7430836","7592865","7755785",
"Rwanda","RWA","8025703","8329406","8536205","8680346","8818438","8991735","9206580","9447402","9708169","9977446","10246842","10516071","10788853","11065151","11345357",
"Sudan","SDN","27250535","27945005","28679565","29435944","30186341","30911914","31607064","32282526","32955496","33650619","34385963","35167314","35990192","36849918","37737913",
"Solomon Islands","SLB","412609","423853","435262","446769","458324","469885","481422","492940","504477","516079","527790","539614","551531","563513","575504",
"Somalia","SOM","9011479","9290823","9564167","9836397","10116228","10409925","10718317","11038596","11369276","11707990","12053223","12404725","12763776","13132349","13513125",
"Chad","TCD","8342559","8663012","9001689","9353201","9710043","10067009","10421597","10775708","11133861","11502786","11887202","12288651","12705135","13133589","13569438",
"Thailand","THA","62958021","63543322","64073164","64554952","65002231","65425470","65824164","66195615","66545760","66881867","67208808","67530130","67843979","68143065","68416772",
"Yemen, Rep.","YEM","17874725","18390135","18919179","19462086","20017068","20582927","21160534","21751605","22356391","22974929","23606779","24252206","24909969","25576322","26246327",
"Zimbabwe","ZWE","12222251","12366165","12500525","12633897","12777511","12940032","13124267","13329909","13558469","13810599","14086317","14386649","14710826","15054506","15411675",
