pr,"	Year", Month, Country
128.081,1901,1,BRB
93.384,1901,2,BRB
86.0584,1901,3,BRB
101.732,1901,4,BRB
145.407,1901,5,BRB
193.046,1901,6,BRB
226.348,1901,7,BRB
230,1901,8,BRB
208.988,1901,9,BRB
223.348,1901,10,BRB
226.384,1901,11,BRB
177.093,1901,12,BRB
103.242,1902,1,BRB
61.3456,1902,2,BRB
88.1259,1902,3,BRB
78.8933,1902,4,BRB
271.423,1902,5,BRB
300.532,1902,6,BRB
273.034,1902,7,BRB
208.174,1902,8,BRB
186.497,1902,9,BRB
163.6,1902,10,BRB
293.507,1902,11,BRB
183.994,1902,12,BRB
80.8701,1903,1,BRB
82.3153,1903,2,BRB
51.6816,1903,3,BRB
209.928,1903,4,BRB
107.669,1903,5,BRB
302.232,1903,6,BRB
217.851,1903,7,BRB
318.6,1903,8,BRB
213.719,1903,9,BRB
171.097,1903,10,BRB
162.127,1903,11,BRB
199.763,1903,12,BRB
171.559,1904,1,BRB
88.7165,1904,2,BRB
115.4,1904,3,BRB
71.7247,1904,4,BRB
145.407,1904,5,BRB
114.023,1904,6,BRB
228.581,1904,7,BRB
198.311,1904,8,BRB
284.256,1904,9,BRB
207.453,1904,10,BRB
120.966,1904,11,BRB
151.556,1904,12,BRB
110.177,1905,1,BRB
69.9805,1905,2,BRB
108.031,1905,3,BRB
89.6631,1905,4,BRB
106.069,1905,5,BRB
189.28,1905,6,BRB
170.499,1905,7,BRB
195.379,1905,8,BRB
244.973,1905,9,BRB
268.302,1905,10,BRB
245.047,1905,11,BRB
112.784,1905,12,BRB
101.608,1906,1,BRB
72.4805,1906,2,BRB
76.1224,1906,3,BRB
102.166,1906,4,BRB
131.772,1906,5,BRB
237.24,1906,6,BRB
228.815,1906,7,BRB
229.133,1906,8,BRB
288.421,1906,9,BRB
203.254,1906,10,BRB
223.017,1906,11,BRB
126.952,1906,12,BRB
99.6411,1907,1,BRB
69.8467,1907,2,BRB
84.5247,1907,3,BRB
90.9631,1907,4,BRB
147.307,1907,5,BRB
150.018,1907,6,BRB
209.587,1907,7,BRB
183.85,1907,8,BRB
171.77,1907,9,BRB
235.511,1907,10,BRB
168.325,1907,11,BRB
187.928,1907,12,BRB
94.5399,1908,1,BRB
41.1421,1908,2,BRB
52.4154,1908,3,BRB
96.8317,1908,4,BRB
78.2655,1908,5,BRB
203.945,1908,6,BRB
244.276,1908,7,BRB
165.323,1908,8,BRB
204.923,1908,9,BRB
166.332,1908,10,BRB
130.131,1908,11,BRB
278.075,1908,12,BRB
128.081,1909,1,BRB
93.384,1909,2,BRB
86.0584,1909,3,BRB
101.732,1909,4,BRB
145.407,1909,5,BRB
193.046,1909,6,BRB
226.348,1909,7,BRB
230,1909,8,BRB
208.988,1909,9,BRB
223.348,1909,10,BRB
226.384,1909,11,BRB
177.093,1909,12,BRB
139.851,1910,1,BRB
125.122,1910,2,BRB
106.564,1910,3,BRB
43.084,1910,4,BRB
308.828,1910,5,BRB
219.643,1910,6,BRB
233.18,1910,7,BRB
240.162,1910,8,BRB
177.734,1910,9,BRB
125.444,1910,10,BRB
147.095,1910,11,BRB
125.752,1910,12,BRB
128.081,1911,1,BRB
93.384,1911,2,BRB
86.0584,1911,3,BRB
101.732,1911,4,BRB
145.407,1911,5,BRB
193.046,1911,6,BRB
226.348,1911,7,BRB
230,1911,8,BRB
208.988,1911,9,BRB
223.348,1911,10,BRB
226.384,1911,11,BRB
177.093,1911,12,BRB
128.081,1912,1,BRB
93.384,1912,2,BRB
86.0584,1912,3,BRB
101.732,1912,4,BRB
145.407,1912,5,BRB
193.046,1912,6,BRB
226.348,1912,7,BRB
230,1912,8,BRB
208.988,1912,9,BRB
223.348,1912,10,BRB
226.384,1912,11,BRB
177.093,1912,12,BRB
128.081,1913,1,BRB
93.384,1913,2,BRB
86.0584,1913,3,BRB
101.732,1913,4,BRB
145.407,1913,5,BRB
193.046,1913,6,BRB
226.348,1913,7,BRB
230,1913,8,BRB
208.988,1913,9,BRB
223.348,1913,10,BRB
226.384,1913,11,BRB
177.093,1913,12,BRB
128.081,1914,1,BRB
93.384,1914,2,BRB
86.0584,1914,3,BRB
101.732,1914,4,BRB
145.407,1914,5,BRB
193.046,1914,6,BRB
226.348,1914,7,BRB
230,1914,8,BRB
208.988,1914,9,BRB
223.348,1914,10,BRB
226.384,1914,11,BRB
177.093,1914,12,BRB
128.081,1915,1,BRB
93.384,1915,2,BRB
86.0584,1915,3,BRB
101.732,1915,4,BRB
145.407,1915,5,BRB
193.046,1915,6,BRB
226.348,1915,7,BRB
230,1915,8,BRB
208.988,1915,9,BRB
223.348,1915,10,BRB
226.384,1915,11,BRB
177.093,1915,12,BRB
128.081,1916,1,BRB
93.384,1916,2,BRB
86.0584,1916,3,BRB
101.732,1916,4,BRB
145.407,1916,5,BRB
193.046,1916,6,BRB
226.348,1916,7,BRB
230,1916,8,BRB
208.988,1916,9,BRB
223.348,1916,10,BRB
226.384,1916,11,BRB
177.093,1916,12,BRB
128.081,1917,1,BRB
93.384,1917,2,BRB
86.0584,1917,3,BRB
101.732,1917,4,BRB
145.407,1917,5,BRB
193.046,1917,6,BRB
226.348,1917,7,BRB
230,1917,8,BRB
208.988,1917,9,BRB
223.348,1917,10,BRB
226.384,1917,11,BRB
177.093,1917,12,BRB
128.081,1918,1,BRB
93.384,1918,2,BRB
86.0584,1918,3,BRB
101.732,1918,4,BRB
145.407,1918,5,BRB
193.046,1918,6,BRB
226.348,1918,7,BRB
230,1918,8,BRB
208.988,1918,9,BRB
223.348,1918,10,BRB
226.384,1918,11,BRB
177.093,1918,12,BRB
128.081,1919,1,BRB
93.384,1919,2,BRB
86.0584,1919,3,BRB
101.732,1919,4,BRB
145.407,1919,5,BRB
193.046,1919,6,BRB
226.348,1919,7,BRB
230,1919,8,BRB
208.988,1919,9,BRB
223.348,1919,10,BRB
226.384,1919,11,BRB
177.093,1919,12,BRB
128.081,1920,1,BRB
93.384,1920,2,BRB
86.0584,1920,3,BRB
101.732,1920,4,BRB
145.407,1920,5,BRB
193.046,1920,6,BRB
226.348,1920,7,BRB
230,1920,8,BRB
208.988,1920,9,BRB
223.348,1920,10,BRB
226.384,1920,11,BRB
177.093,1920,12,BRB
128.081,1921,1,BRB
93.384,1921,2,BRB
86.0584,1921,3,BRB
101.732,1921,4,BRB
145.407,1921,5,BRB
193.046,1921,6,BRB
226.348,1921,7,BRB
230,1921,8,BRB
208.988,1921,9,BRB
223.348,1921,10,BRB
226.384,1921,11,BRB
177.093,1921,12,BRB
128.081,1922,1,BRB
93.384,1922,2,BRB
86.0584,1922,3,BRB
101.732,1922,4,BRB
145.407,1922,5,BRB
193.046,1922,6,BRB
226.348,1922,7,BRB
230,1922,8,BRB
208.988,1922,9,BRB
223.348,1922,10,BRB
226.384,1922,11,BRB
177.093,1922,12,BRB
128.081,1923,1,BRB
93.384,1923,2,BRB
86.0584,1923,3,BRB
101.732,1923,4,BRB
145.407,1923,5,BRB
193.046,1923,6,BRB
226.348,1923,7,BRB
230,1923,8,BRB
208.988,1923,9,BRB
223.348,1923,10,BRB
226.384,1923,11,BRB
177.093,1923,12,BRB
128.081,1924,1,BRB
93.384,1924,2,BRB
86.0584,1924,3,BRB
101.732,1924,4,BRB
145.407,1924,5,BRB
193.046,1924,6,BRB
226.348,1924,7,BRB
230,1924,8,BRB
208.988,1924,9,BRB
223.348,1924,10,BRB
226.384,1924,11,BRB
177.093,1924,12,BRB
128.081,1925,1,BRB
93.384,1925,2,BRB
86.0584,1925,3,BRB
101.732,1925,4,BRB
145.407,1925,5,BRB
193.046,1925,6,BRB
226.348,1925,7,BRB
230,1925,8,BRB
208.988,1925,9,BRB
223.348,1925,10,BRB
226.384,1925,11,BRB
