pr,"	Year", Month, Country, ISO3, ISO2
10.2205,1901,1,QAT,,
8.55992,1901,2,QAT,,
16.896,1901,3,QAT,,
9.79033,1901,4,QAT,,
1.21847,1901,5,QAT,,
0.17117,1901,6,QAT,,
0.23527,1901,7,QAT,,
0.2036,1901,8,QAT,,
0,1901,9,QAT,,
0.13226,1901,10,QAT,,
1.56574,1901,11,QAT,,
7.57154,1901,12,QAT,,
1.71047,1902,1,QAT,,
2.57886,1902,2,QAT,,
3.24155,1902,3,QAT,,
9.02289,1902,4,QAT,,
0.4098,1902,5,QAT,,
0.17117,1902,6,QAT,,
0.06401,1902,7,QAT,,
0.2036,1902,8,QAT,,
0,1902,9,QAT,,
1.72363,1902,10,QAT,,
3.35632,1902,11,QAT,,
1.62976,1902,12,QAT,,
3.71109,1903,1,QAT,,
28.5588,1903,2,QAT,,
9.07043,1903,3,QAT,,
11.6212,1903,4,QAT,,
0.4098,1903,5,QAT,,
0.17117,1903,6,QAT,,
0.06401,1903,7,QAT,,
0.2036,1903,8,QAT,,
0,1903,9,QAT,,
0.04065,1903,10,QAT,,
0.41115,1903,11,QAT,,
5.01862,1903,12,QAT,,
6.63857,1904,1,QAT,,
5.26285,1904,2,QAT,,
20.8784,1904,3,QAT,,
4.43001,1904,4,QAT,,
8.8894,1904,5,QAT,,
0.17117,1904,6,QAT,,
0.06401,1904,7,QAT,,
0.2036,1904,8,QAT,,
0,1904,9,QAT,,
0.04065,1904,10,QAT,,
0.84242,1904,11,QAT,,
1.27469,1904,12,QAT,,
4.36039,1905,1,QAT,,
11.3532,1905,2,QAT,,
12.3466,1905,3,QAT,,
1.72288,1905,4,QAT,,
0.4098,1905,5,QAT,,
0.17117,1905,6,QAT,,
0.06401,1905,7,QAT,,
0.2036,1905,8,QAT,,
0,1905,9,QAT,,
0.04065,1905,10,QAT,,
0.50855,1905,11,QAT,,
19.8496,1905,12,QAT,,
8.29348,1906,1,QAT,,
25.4259,1906,2,QAT,,
31.4121,1906,3,QAT,,
1.72288,1906,4,QAT,,
