pr,"	Year", Month, Country
64.4846,1901,1,AFG
13.5231,1901,2,AFG
45.6891,1901,3,AFG
32.0232,1901,4,AFG
48.131,1901,5,AFG
18.7789,1901,6,AFG
8.57082,1901,7,AFG
2.49005,1901,8,AFG
3.82143,1901,9,AFG
11.122,1901,10,AFG
7.62226,1901,11,AFG
7.7832,1901,12,AFG
19.9657,1902,1,AFG
21.0946,1902,2,AFG
40.7618,1902,3,AFG
33.3628,1902,4,AFG
13.9345,1902,5,AFG
5.08209,1902,6,AFG
2.59937,1902,7,AFG
3.13349,1902,8,AFG
1.84976,1902,9,AFG
19.1689,1902,10,AFG
51.9811,1902,11,AFG
18.7816,1902,12,AFG
48.1929,1903,1,AFG
48.6456,1903,2,AFG
66.6649,1903,3,AFG
36.8958,1903,4,AFG
78.0403,1903,5,AFG
6.49745,1903,6,AFG
7.19767,1903,7,AFG
6.22529,1903,8,AFG
5.85491,1903,9,AFG
1.96392,1903,10,AFG
11.6192,1903,11,AFG
21.2103,1903,12,AFG
66.4603,1904,1,AFG
24.9278,1904,2,AFG
75.5623,1904,3,AFG
23.0225,1904,4,AFG
27.3719,1904,5,AFG
0.33742,1904,6,AFG
3.0168,1904,7,AFG
4.05967,1904,8,AFG
7.8712,1904,9,AFG
20.5919,1904,10,AFG
25.7076,1904,11,AFG
19.7418,1904,12,AFG
70.1321,1905,1,AFG
36.9571,1905,2,AFG
69.555,1905,3,AFG
33.6274,1905,4,AFG
15.0035,1905,5,AFG
4.12534,1905,6,AFG
1.14609,1905,7,AFG
3.3256,1905,8,AFG
5.31239,1905,9,AFG
2.3769,1905,10,AFG
2.99895,1905,11,AFG
41.5333,1905,12,AFG
21.0055,1906,1,AFG
110.086,1906,2,AFG
55.5472,1906,3,AFG
42.265,1906,4,AFG
14.326,1906,5,AFG
5.83169,1906,6,AFG
6.16062,1906,7,AFG
5.61836,1906,8,AFG
2.26547,1906,9,AFG
4.49346,1906,10,AFG
5.29555,1906,11,AFG
33.698,1906,12,AFG
50.6541,1907,1,AFG
50.0559,1907,2,AFG
40.6514,1907,3,AFG
49.8693,1907,4,AFG
39.4151,1907,5,AFG
14.4183,1907,6,AFG
6.534,1907,7,AFG
4.86873,1907,8,AFG
3.02525,1907,9,AFG
18.1841,1907,10,AFG
8.22352,1907,11,AFG
9.96299,1907,12,AFG
78.1556,1908,1,AFG
36.2369,1908,2,AFG
54.3581,1908,3,AFG
84.8976,1908,4,AFG
10.4907,1908,5,AFG
3.03565,1908,6,AFG
10.7031,1908,7,AFG
7.23805,1908,8,AFG
5.97344,1908,9,AFG
2.76097,1908,10,AFG
1.23949,1908,11,AFG
44.1082,1908,12,AFG
31.0317,1909,1,AFG
59.8651,1909,2,AFG
51.3988,1909,3,AFG
78.2299,1909,4,AFG
25.1262,1909,5,AFG
7.91988,1909,6,AFG
12.9979,1909,7,AFG
2.47089,1909,8,AFG
2.5483,1909,9,AFG
5.64698,1909,10,AFG
4.0902,1909,11,AFG
47.0688,1909,12,AFG
79.5667,1910,1,AFG
30.7542,1910,2,AFG
53.1878,1910,3,AFG
28.9303,1910,4,AFG
17.9428,1910,5,AFG
4.7351,1910,6,AFG
13.0437,1910,7,AFG
17.1483,1910,8,AFG
0.75903,1910,9,AFG
2.52411,1910,10,AFG
1.92933,1910,11,AFG
22.2398,1910,12,AFG
82.189,1911,1,AFG
33.999,1911,2,AFG
89.3132,1911,3,AFG
29.5025,1911,4,AFG
31.9776,1911,5,AFG
1.27888,1911,6,AFG
0.50826,1911,7,AFG
2.32662,1911,8,AFG
0.89045,1911,9,AFG
6.08025,1911,10,AFG
11.3399,1911,11,AFG
20.7892,1911,12,AFG
75.9282,1912,1,AFG
29.9331,1912,2,AFG
56.4308,1912,3,AFG
50.6832,1912,4,AFG
32.8158,1912,5,AFG
5.72573,1912,6,AFG
4.63633,1912,7,AFG
6.17221,1912,8,AFG
7.55811,1912,9,AFG
5.7548,1912,10,AFG
5.76443,1912,11,AFG
51.2759,1912,12,AFG
31.8776,1913,1,AFG
43.9147,1913,2,AFG
31.2211,1913,3,AFG
28.1977,1913,4,AFG
15.4096,1913,5,AFG
8.72551,1913,6,AFG
2.48174,1913,7,AFG
5.42319,1913,8,AFG
3.43282,1913,9,AFG
18.293,1913,10,AFG
16.0156,1913,11,AFG
68.1119,1913,12,AFG
36.2586,1914,1,AFG
62.4452,1914,2,AFG
64.2739,1914,3,AFG
78.9918,1914,4,AFG
11.474,1914,5,AFG
12.3619,1914,6,AFG
20.8836,1914,7,AFG
4.33633,1914,8,AFG
7.14107,1914,9,AFG
31.952,1914,10,AFG
43.3474,1914,11,AFG
14.3214,1914,12,AFG
3.32041,1915,1,AFG
48.879,1915,2,AFG
46.5221,1915,3,AFG
134.325,1915,4,AFG
6.72342,1915,5,AFG
3.81182,1915,6,AFG
6.96879,1915,7,AFG
1.98085,1915,8,AFG
2.76848,1915,9,AFG
3.75412,1915,10,AFG
1.58576,1915,11,AFG
17.8366,1915,12,AFG
56.5398,1916,1,AFG
27.2415,1916,2,AFG
60.8376,1916,3,AFG
97.7813,1916,4,AFG
40.671,1916,5,AFG
3.2947,1916,6,AFG
2.47363,1916,7,AFG
26.5766,1916,8,AFG
2.98028,1916,9,AFG
2.20418,1916,10,AFG
0.5692,1916,11,AFG
4.8669,1916,12,AFG
33.5665,1917,1,AFG
23.3271,1917,2,AFG
61.4218,1917,3,AFG
7.37647,1917,4,AFG
19.3585,1917,5,AFG
2.08575,1917,6,AFG
1.05366,1917,7,AFG
13.6607,1917,8,AFG
11.1628,1917,9,AFG
3.8013,1917,10,AFG
0.66176,1917,11,AFG
19.5571,1917,12,AFG
24.4217,1918,1,AFG
42.4494,1918,2,AFG
94.5206,1918,3,AFG
40.2045,1918,4,AFG
11.2983,1918,5,AFG
6.17112,1918,6,AFG
3.27957,1918,7,AFG
3.19534,1918,8,AFG
3.19052,1918,9,AFG
5.40976,1918,10,AFG
11.2574,1918,11,AFG
