tas,"	Year", Month, Country
22.0215,1901,1,BLZ
22.9561,1901,2,BLZ
24.3978,1901,3,BLZ
25.7207,1901,4,BLZ
26.8919,1901,5,BLZ
27.0921,1901,6,BLZ
26.2121,1901,7,BLZ
26.5924,1901,8,BLZ
26.4422,1901,9,BLZ
25.5898,1901,10,BLZ
22.9788,1901,11,BLZ
22.2944,1901,12,BLZ
21.2358,1902,1,BLZ
22.6131,1902,2,BLZ
25.1984,1902,3,BLZ
25.8903,1902,4,BLZ
27.2046,1902,5,BLZ
26.8845,1902,6,BLZ
26.6523,1902,7,BLZ
25.6786,1902,8,BLZ
27.5052,1902,9,BLZ
25.9745,1902,10,BLZ
24.2058,1902,11,BLZ
22.7067,1902,12,BLZ
22.5074,1903,1,BLZ
24.1607,1903,2,BLZ
24.8512,1903,3,BLZ
25.6039,1903,4,BLZ
26.4427,1903,5,BLZ
27.752,1903,6,BLZ
26.7847,1903,7,BLZ
26.7886,1903,8,BLZ
27.3015,1903,9,BLZ
25.3135,1903,10,BLZ
22.8758,1903,11,BLZ
21.4853,1903,12,BLZ
22.0921,1904,1,BLZ
23.0519,1904,2,BLZ
24.3598,1904,3,BLZ
26.0815,1904,4,BLZ
26.9572,1904,5,BLZ
26.9848,1904,6,BLZ
26.1597,1904,7,BLZ
26.4165,1904,8,BLZ
26.3971,1904,9,BLZ
25.3154,1904,10,BLZ
23.2416,1904,11,BLZ
22.5999,1904,12,BLZ
21.6528,1905,1,BLZ
23.0904,1905,2,BLZ
24.5044,1905,3,BLZ
25.9712,1905,4,BLZ
27.4316,1905,5,BLZ
27.3375,1905,6,BLZ
26.2631,1905,7,BLZ
26.6726,1905,8,BLZ
26.6101,1905,9,BLZ
25.7128,1905,10,BLZ
23.6448,1905,11,BLZ
22.6952,1905,12,BLZ
21.1646,1906,1,BLZ
21.9126,1906,2,BLZ
23.8694,1906,3,BLZ
25.3219,1906,4,BLZ
26.9037,1906,5,BLZ
26.6958,1906,6,BLZ
26.5636,1906,7,BLZ
26.4886,1906,8,BLZ
26.9375,1906,9,BLZ
25.536,1906,10,BLZ
23.704,1906,11,BLZ
22.1857,1906,12,BLZ
22.5724,1907,1,BLZ
22.6781,1907,2,BLZ
24.3976,1907,3,BLZ
25.9669,1907,4,BLZ
26.9046,1907,5,BLZ
26.861,1907,6,BLZ
25.7354,1907,7,BLZ
25.8869,1907,8,BLZ
26.0974,1907,9,BLZ
25.4135,1907,10,BLZ
23.8577,1907,11,BLZ
22.2531,1907,12,BLZ
21.3683,1908,1,BLZ
22.1983,1908,2,BLZ
24.4976,1908,3,BLZ
26.7921,1908,4,BLZ
27.5648,1908,5,BLZ
27.107,1908,6,BLZ
26.2636,1908,7,BLZ
26.3877,1908,8,BLZ
26.3276,1908,9,BLZ
24.7852,1908,10,BLZ
22.7365,1908,11,BLZ
22.5067,1908,12,BLZ
21.7977,1909,1,BLZ
22.7668,1909,2,BLZ
25.0586,1909,3,BLZ
26.2903,1909,4,BLZ
27.8542,1909,5,BLZ
26.7845,1909,6,BLZ
26.7173,1909,7,BLZ
26.6877,1909,8,BLZ
26.2502,1909,9,BLZ
25.2135,1909,10,BLZ
22.7356,1909,11,BLZ
22.4058,1909,12,BLZ
20.889,1910,1,BLZ
21.9839,1910,2,BLZ
22.5362,1910,3,BLZ
24.6162,1910,4,BLZ
26.3755,1910,5,BLZ
26.4234,1910,6,BLZ
26.01,1910,7,BLZ
26.4651,1910,8,BLZ
26.2502,1910,9,BLZ
25.1248,1910,10,BLZ
22.449,1910,11,BLZ
20.9253,1910,12,BLZ
21.9301,1911,1,BLZ
22.8668,1911,2,BLZ
24.4976,1911,3,BLZ
26.444,1911,4,BLZ
25.3232,1911,5,BLZ
25.9303,1911,6,BLZ
25.0339,1911,7,BLZ
26.3886,1911,8,BLZ
26.4511,1911,9,BLZ
25.9745,1911,10,BLZ
24.1322,1911,11,BLZ
22.8076,1911,12,BLZ
22.2187,1912,1,BLZ
21.3415,1912,2,BLZ
24.9186,1912,3,BLZ
27.2117,1912,4,BLZ
27.1037,1912,5,BLZ
26.6308,1912,6,BLZ
26.1636,1912,7,BLZ
26.4661,1912,8,BLZ
26.2511,1912,9,BLZ
25.6135,1912,10,BLZ
22.5931,1912,11,BLZ
22.8963,1912,12,BLZ
22.8469,1913,1,BLZ
24.0872,1913,2,BLZ
24.6238,1913,3,BLZ
24.1299,1913,4,BLZ
25.4599,1913,5,BLZ
25.6557,1913,6,BLZ
25.9425,1913,7,BLZ
26.3886,1913,8,BLZ
25.9647,1913,9,BLZ
24.9924,1913,10,BLZ
22.8023,1913,11,BLZ
22.1866,1913,12,BLZ
21.517,1914,1,BLZ
22.8442,1914,2,BLZ
22.6592,1914,3,BLZ
25.4621,1914,4,BLZ
25.9496,1914,5,BLZ
26.0744,1914,6,BLZ
26.5636,1914,7,BLZ
26.8773,1914,8,BLZ
26.0974,1914,9,BLZ
25.1248,1914,10,BLZ
22.943,1914,11,BLZ
23.0278,1914,12,BLZ
21.7986,1915,1,BLZ
22.1163,1915,2,BLZ
22.3209,1915,3,BLZ
24.2067,1915,4,BLZ
27.5026,1915,5,BLZ
27.4824,1915,6,BLZ
