tas,"	Year", Month, Country
11.4215,1901,1,KWT
15.1007,1901,2,KWT
20.3056,1901,3,KWT
24.9172,1901,4,KWT
30.6696,1901,5,KWT
34.1121,1901,6,KWT
36.157,1901,7,KWT
35.3958,1901,8,KWT
33.3098,1901,9,KWT
27.3768,1901,10,KWT
20.307,1901,11,KWT
15.7364,1901,12,KWT
12.9722,1902,1,KWT
16.0496,1902,2,KWT
20.737,1902,3,KWT
24.951,1902,4,KWT
30.2332,1902,5,KWT
34.4375,1902,6,KWT
34.9697,1902,7,KWT
35.1239,1902,8,KWT
32.7266,1902,9,KWT
26.36,1902,10,KWT
19.0999,1902,11,KWT
13.7116,1902,12,KWT
10.7236,1903,1,KWT
13.3093,1903,2,KWT
17.3359,1903,3,KWT
22.7678,1903,4,KWT
30.1027,1903,5,KWT
33.4861,1903,6,KWT
34.3572,1903,7,KWT
35.7326,1903,8,KWT
32.4445,1903,9,KWT
25.5301,1903,10,KWT
18.0391,1903,11,KWT
13.5619,1903,12,KWT
12.8743,1904,1,KWT
14.6758,1904,2,KWT
18.7377,1904,3,KWT
23.5855,1904,4,KWT
29.3038,1904,5,KWT
32.9726,1904,6,KWT
34.8724,1904,7,KWT
34.7466,1904,8,KWT
31.4769,1904,9,KWT
26.8679,1904,10,KWT
20.9004,1904,11,KWT
12.9029,1904,12,KWT
10.9902,1905,1,KWT
12.3019,1905,2,KWT
16.9109,1905,3,KWT
23.8154,1905,4,KWT
29.4707,1905,5,KWT
33.3039,1905,6,KWT
35.1504,1905,7,KWT
35.2369,1905,8,KWT
32.6785,1905,9,KWT
27.4024,1905,10,KWT
20.6518,1905,11,KWT
12.8279,1905,12,KWT
11.4732,1906,1,KWT
13.7124,1906,2,KWT
17.7489,1906,3,KWT
22.2133,1906,4,KWT
29.6691,1906,5,KWT
33.1099,1906,6,KWT
34.6609,1906,7,KWT
34.4615,1906,8,KWT
31.6574,1906,9,KWT
27.1824,1906,10,KWT
20.3407,1906,11,KWT
15.3624,1906,12,KWT
12.5405,1907,1,KWT
13.1919,1907,2,KWT
17.5914,1907,3,KWT
22.6567,1907,4,KWT
30.3476,1907,5,KWT
33.0527,1907,6,KWT
35.2942,1907,7,KWT
34.6289,1907,8,KWT
31.4882,1907,9,KWT
27.0763,1907,10,KWT
17.9885,1907,11,KWT
13.8222,1907,12,KWT
12.2121,1908,1,KWT
13.1778,1908,2,KWT
18.5954,1908,3,KWT
24.2896,1908,4,KWT
29.5264,1908,5,KWT
34.5057,1908,6,KWT
34.4947,1908,7,KWT
35.3905,1908,8,KWT
32.9221,1908,9,KWT
26.8156,1908,10,KWT
19.9995,1908,11,KWT
13.7405,1908,12,KWT
11.7801,1909,1,KWT
15.528,1909,2,KWT
20.5275,1909,3,KWT
24.2523,1909,4,KWT
30.9883,1909,5,KWT
33.0842,1909,6,KWT
36.1625,1909,7,KWT
35.4896,1909,8,KWT
32.2917,1909,9,KWT
26.9559,1909,10,KWT
20.3684,1909,11,KWT
14.4999,1909,12,KWT
11.8129,1910,1,KWT
14.9747,1910,2,KWT
16.3365,1910,3,KWT
22.4994,1910,4,KWT
29.2361,1910,5,KWT
32.4999,1910,6,KWT
34.9394,1910,7,KWT
35.5603,1910,8,KWT
32.2863,1910,9,KWT
26.1118,1910,10,KWT
19.4367,1910,11,KWT
11.7258,1910,12,KWT
8.19354,1911,1,KWT
11.4238,1911,2,KWT
16.125,1911,3,KWT
22.1853,1911,4,KWT
28.6853,1911,5,KWT
31.8697,1911,6,KWT
35.2805,1911,7,KWT
34.4678,1911,8,KWT
31.0061,1911,9,KWT
26.4726,1911,10,KWT
19.0021,1911,11,KWT
14.4239,1911,12,KWT
11.5,1912,1,KWT
14.7948,1912,2,KWT
18.8595,1912,3,KWT
23.3277,1912,4,KWT
28.8174,1912,5,KWT
34.321,1912,6,KWT
34.5303,1912,7,KWT
34.2114,1912,8,KWT
32.0261,1912,9,KWT
26.9912,1912,10,KWT
19.97,1912,11,KWT
12.8384,1912,12,KWT
11.6455,1913,1,KWT
12.6211,1913,2,KWT
17.1071,1913,3,KWT
23.3341,1913,4,KWT
30.345,1913,5,KWT
32.9738,1913,6,KWT
34.4787,1913,7,KWT
33.7002,1913,8,KWT
