tas,"	Year", Month, Country, ISO3, ISO2
0.18512,1991,1,AFG,,
1.59968,1991,2,AFG,,
6.95549,1991,3,AFG,,
13.2483,1991,4,AFG,,
17.4199,1991,5,AFG,,
23.204,1991,6,AFG,,
25.6184,1991,7,AFG,,
24.2117,1991,8,AFG,,
19.7491,1991,9,AFG,,
13.1075,1991,10,AFG,,
7.53112,1991,11,AFG,,
4.58609,1991,12,AFG,,
1.06128,1992,1,AFG,,
2.87123,1992,2,AFG,,
5.65829,1992,3,AFG,,
11.8229,1992,4,AFG,,
15.9669,1992,5,AFG,,
22.8083,1992,6,AFG,,
24.7731,1992,7,AFG,,
22.8072,1992,8,AFG,,
18.1852,1992,9,AFG,,
12.6675,1992,10,AFG,,
8.73774,1992,11,AFG,,
4.51103,1992,12,AFG,,
-0.1381,1993,1,AFG,,
4.30965,1993,2,AFG,,
6.21585,1993,3,AFG,,
13.456,1993,4,AFG,,
18.5045,1993,5,AFG,,
22.89,1993,6,AFG,,
24.6131,1993,7,AFG,,
22.8919,1993,8,AFG,,
19.7186,1993,9,AFG,,
11.7455,1993,10,AFG,,
7.28843,1993,11,AFG,,
3.36835,1993,12,AFG,,
1.16854,1994,1,AFG,,
0.95785,1994,2,AFG,,
9.11593,1994,3,AFG,,
11.9537,1994,4,AFG,,
18.694,1994,5,AFG,,
24.0352,1994,6,AFG,,
25.1082,1994,7,AFG,,
24.9643,1994,8,AFG,,
16.9393,1994,9,AFG,,
12.5708,1994,10,AFG,,
9.83989,1994,11,AFG,,
2.36478,1994,12,AFG,,
0.96791,1995,1,AFG,,
2.88403,1995,2,AFG,,
6.31552,1995,3,AFG,,
12.9983,1995,4,AFG,,
18.2693,1995,5,AFG,,
23.4972,1995,6,AFG,,
25.8751,1995,7,AFG,,
24.6626,1995,8,AFG,,
18.8898,1995,9,AFG,,
13.5421,1995,10,AFG,,
7.99119,1995,11,AFG,,
1.60651,1995,12,AFG,,
-0.6992,1996,1,AFG,,
2.48462,1996,2,AFG,,
6.9228,1996,3,AFG,,
12.8837,1996,4,AFG,,
17.1888,1996,5,AFG,,
23.0169,1996,6,AFG,,
24.6476,1996,7,AFG,,
23.4335,1996,8,AFG,,
20.4742,1996,9,AFG,,
12.7394,1996,10,AFG,,
5.18952,1996,11,AFG,,
3.25419,1996,12,AFG,,
1.23577,1997,1,AFG,,
2.06257,1997,2,AFG,,
6.95281,1997,3,AFG,,
12.3524,1997,4,AFG,,
16.5827,1997,5,AFG,,
23.8607,1997,6,AFG,,
25.8201,1997,7,AFG,,
24.1342,1997,8,AFG,,
19.7744,1997,9,AFG,,
15.1364,1997,10,AFG,,
5.03268,1997,11,AFG,,
1.84052,1997,12,AFG,,
-0.1233,1998,1,AFG,,
1.02755,1998,2,AFG,,
6.38499,1998,3,AFG,,
14.4524,1998,4,AFG,,
17.9026,1998,5,AFG,,
22.548,1998,6,AFG,,
25.9184,1998,7,AFG,,
23.5978,1998,8,AFG,,
19.4345,1998,9,AFG,,
14.4553,1998,10,AFG,,
8.35244,1998,11,AFG,,
4.63882,1998,12,AFG,,
0.3448,1999,1,AFG,,
4.92781,1999,2,AFG,,
7.37079,1999,3,AFG,,
13.8799,1999,4,AFG,,
18.6904,1999,5,AFG,,
24.4468,1999,6,AFG,,
25.7171,1999,7,AFG,,
24.678,1999,8,AFG,,
21.0461,1999,9,AFG,,
15.2722,1999,10,AFG,,
8.19697,1999,11,AFG,,
3.80104,1999,12,AFG,,
1.53432,2000,1,AFG,,
1.94656,2000,2,AFG,,
7.32789,2000,3,AFG,,
16.3338,2000,4,AFG,,
21.7587,2000,5,AFG,,
22.9224,2000,6,AFG,,
24.602,2000,7,AFG,,
23.8858,2000,8,AFG,,
19.7265,2000,9,AFG,,
13.8006,2000,10,AFG,,
6.42194,2000,11,AFG,,
3.7589,2000,12,AFG,,
-0.1108,2001,1,AFG,,
3.23376,2001,2,AFG,,
8.37493,2001,3,AFG,,
16.3949,2001,4,AFG,,
22.1887,2001,5,AFG,,
24.8257,2001,6,AFG,,
26.0017,2001,7,AFG,,
24.3011,2001,8,AFG,,
19.7375,2001,9,AFG,,
14.5375,2001,10,AFG,,
8.89378,2001,11,AFG,,
4.9332,2001,12,AFG,,
2.45853,2002,1,AFG,,
3.60209,2002,2,AFG,,
9.57557,2002,3,AFG,,
14.6835,2002,4,AFG,,
19.7503,2002,5,AFG,,
24.3731,2002,6,AFG,,
25.4505,2002,7,AFG,,
25.2937,2002,8,AFG,,
19.924,2002,9,AFG,,
15.7341,2002,10,AFG,,
8.39907,2002,11,AFG,,
1.78139,2002,12,AFG,,
2.29033,2003,1,AFG,,
4.11901,2003,2,AFG,,
8.09959,2003,3,AFG,,
14.1398,2003,4,AFG,,
16.5822,2003,5,AFG,,
23.6693,2003,6,AFG,,
26.2262,2003,7,AFG,,
24.8859,2003,8,AFG,,
20.1344,2003,9,AFG,,
14.9542,2003,10,AFG,,
6.7273,2003,11,AFG,,
2.74927,2003,12,AFG,,
3.2693,2004,1,AFG,,
5.56025,2004,2,AFG,,
10.5468,2004,3,AFG,,
14.4935,2004,4,AFG,,
19.8495,2004,5,AFG,,
24.2515,2004,6,AFG,,
25.572,2004,7,AFG,,
24.8549,2004,8,AFG,,
20.2997,2004,9,AFG,,
12.9858,2004,10,AFG,,
10.092,2004,11,AFG,,
3.37269,2004,12,AFG,,
1.14555,2005,1,AFG,,
1.59512,2005,2,AFG,,
9.78729,2005,3,AFG,,
13.7774,2005,4,AFG,,
17.4681,2005,5,AFG,,
24.3274,2005,6,AFG,,
26.6306,2005,7,AFG,,
24.4804,2005,8,AFG,,
21.6369,2005,9,AFG,,
15.2099,2005,10,AFG,,
7.88424,2005,11,AFG,,
3.71027,2005,12,AFG,,
-0.1252,2006,1,AFG,,
6.0592,2006,2,AFG,,
9.31454,2006,3,AFG,,
14.8407,2006,4,AFG,,
22.4679,2006,5,AFG,,
24.3266,2006,6,AFG,,
26.5177,2006,7,AFG,,
25.0366,2006,8,AFG,,
19.7121,2006,9,AFG,,
16.9971,2006,10,AFG,,
8.64152,2006,11,AFG,,
1.54701,2006,12,AFG,,
0.71744,2007,1,AFG,,
3.98124,2007,2,AFG,,
7.48859,2007,3,AFG,,
17.0368,2007,4,AFG,,
19.9826,2007,5,AFG,,
24.8193,2007,6,AFG,,
25.8432,2007,7,AFG,,
24.2314,2007,8,AFG,,
20.1399,2007,9,AFG,,
12.1821,2007,10,AFG,,
9.24993,2007,11,AFG,,
1.96833,2007,12,AFG,,
-4.4382,2008,1,AFG,,
0.70511,2008,2,AFG,,
12.2944,2008,3,AFG,,
15.3727,2008,4,AFG,,
21.1888,2008,5,AFG,,
25.8995,2008,6,AFG,,
26.7946,2008,7,AFG,,
24.479,2008,8,AFG,,
20.5376,2008,9,AFG,,
15.3707,2008,10,AFG,,
7.47529,2008,11,AFG,,
3.8657,2008,12,AFG,,
1.90667,2009,1,AFG,,
5.164,2009,2,AFG,,
10.6567,2009,3,AFG,,
12.0232,2009,4,AFG,,
19.8301,2009,5,AFG,,
21.9631,2009,6,AFG,,
25.8204,2009,7,AFG,,
25.2533,2009,8,AFG,,
20.8158,2009,9,AFG,,
13.6546,2009,10,AFG,,
7.96202,2009,11,AFG,,
4.00828,2009,12,AFG,,
3.7868,2010,1,AFG,,
3.02271,2010,2,AFG,,
11.0504,2010,3,AFG,,
16.3329,2010,4,AFG,,
19.5137,2010,5,AFG,,
24.0412,2010,6,AFG,,
25.7227,2010,7,AFG,,
24.6078,2010,8,AFG,,
19.3678,2010,9,AFG,,
16.5072,2010,10,AFG,,
7.40157,2010,11,AFG,,
2.51884,2010,12,AFG,,
0.98678,2011,1,AFG,,
2.67457,2011,2,AFG,,
8.60924,2011,3,AFG,,
15.3251,2011,4,AFG,,
21.6236,2011,5,AFG,,
25.4622,2011,6,AFG,,
25.8103,2011,7,AFG,,
25.7223,2011,8,AFG,,
20.1612,2011,9,AFG,,
14.8438,2011,10,AFG,,
7.32179,2011,11,AFG,,
0.31344,2011,12,AFG,,
-0.3493,2012,1,AFG,,
-0.3594,2012,2,AFG,,
7.5566,2012,3,AFG,,
14.9522,2012,4,AFG,,
19.3817,2012,5,AFG,,
23.6182,2012,6,AFG,,
26.5931,2012,7,AFG,,
24.88,2012,8,AFG,,
19.8135,2012,9,AFG,,
13.8703,2012,10,AFG,,
7.42172,2012,11,AFG,,
2.33784,2012,12,AFG,,
1.70512,2013,1,AFG,,
3.0597,2013,2,AFG,,
7.34807,2013,3,AFG,,
13.6547,2013,4,AFG,,
19.7117,2013,5,AFG,,
25.2979,2013,6,AFG,,
26.7007,2013,7,AFG,,
24.6556,2013,8,AFG,,
21.9339,2013,9,AFG,,
15.4936,2013,10,AFG,,
8.05435,2013,11,AFG,,
2.65949,2013,12,AFG,,
