tas,"	Year", Month, Country
-6.6267,1901,1,HUN
-3.6392,1901,2,HUN
5.00889,1901,3,HUN
10.341,1901,4,HUN
15.4039,1901,5,HUN
19.6457,1901,6,HUN
21.2057,1901,7,HUN
19.5199,1901,8,HUN
15.1931,1901,9,HUN
11.7304,1901,10,HUN
3.24007,1901,11,HUN
2.96785,1901,12,HUN
1.30596,1902,1,HUN
1.70315,1902,2,HUN
4.14945,1902,3,HUN
9.22809,1902,4,HUN
11.2463,1902,5,HUN
17.4821,1902,6,HUN
19.1333,1902,7,HUN
19.9402,1902,8,HUN
15.375,1902,9,HUN
10.0639,1902,10,HUN
0.87033,1902,11,HUN
-4.9034,1902,12,HUN
-2.3378,1903,1,HUN
2.89606,1903,2,HUN
7.42491,1903,3,HUN
7.94556,1903,4,HUN
15.0152,1903,5,HUN
17.572,1903,6,HUN
19.581,1903,7,HUN
19.1506,1903,8,HUN
16.15,1903,9,HUN
11.0956,1903,10,HUN
5.65727,1903,11,HUN
1.196,1903,12,HUN
-3.076,1904,1,HUN
2.72045,1904,2,HUN
5.12479,1904,3,HUN
10.6891,1904,4,HUN
14.6544,1904,5,HUN
18.6975,1904,6,HUN
22.0521,1904,7,HUN
20.3114,1904,8,HUN
14.6771,1904,9,HUN
10.7594,1904,10,HUN
2.3939,1904,11,HUN
0.35924,1904,12,HUN
-5.8306,1905,1,HUN
-0.1426,1905,2,HUN
5.72293,1905,3,HUN
8.56269,1905,4,HUN
15.2213,1905,5,HUN
19.3501,1905,6,HUN
21.9806,1905,7,HUN
21.2502,1905,8,HUN
17.1928,1905,9,HUN
6.47803,1905,10,HUN
6.21001,1905,11,HUN
0.36967,1905,12,HUN
-2.1299,1906,1,HUN
0.88864,1906,2,HUN
5.02551,1906,3,HUN
11.2396,1906,4,HUN
16.0311,1906,5,HUN
18.0634,1906,6,HUN
20.4192,1906,7,HUN
19.0959,1906,8,HUN
14.2764,1906,9,HUN
10.0149,1906,10,HUN
7.2361,1906,11,HUN
-1.9203,1906,12,HUN
-3.797,1907,1,HUN
-3.1679,1907,2,HUN
1.61101,1907,3,HUN
7.63768,1907,4,HUN
17.3481,1907,5,HUN
18.9133,1907,6,HUN
18.9239,1907,7,HUN
19.545,1907,8,HUN
15.5174,1907,9,HUN
14.6153,1907,10,HUN
3.54543,1907,11,HUN
1.3185,1907,12,HUN
-3.5634,1908,1,HUN
0.80057,1908,2,HUN
4.25087,1908,3,HUN
9.00739,1908,4,HUN
17.7686,1908,5,HUN
20.255,1908,6,HUN
20.3132,1908,7,HUN
18.1893,1908,8,HUN
14.4713,1908,9,HUN
9.35443,1908,10,HUN
-0.4957,1908,11,HUN
-1.9476,1908,12,HUN
-4.0276,1909,1,HUN
-3.7677,1909,2,HUN
4.48766,1909,3,HUN
10.5282,1909,4,HUN
14.2427,1909,5,HUN
18.0976,1909,6,HUN
19.1524,1909,7,HUN
20.5492,1909,8,HUN
16.6188,1909,9,HUN
12.5357,1909,10,HUN
3.38866,1909,11,HUN
2.88597,1909,12,HUN
-0.0267,1910,1,HUN
3.96741,1910,2,HUN
5.67044,1910,3,HUN
9.94144,1910,4,HUN
15.18,1910,5,HUN
19.3413,1910,6,HUN
19.2741,1910,7,HUN
19.4526,1910,8,HUN
14.529,1910,9,HUN
10.3255,1910,10,HUN
3.81579,1910,11,HUN
3.248,1910,12,HUN
-1.0019,1911,1,HUN
-1.9323,1911,2,HUN
4.95613,1911,3,HUN
9.56827,1911,4,HUN
15.2931,1911,5,HUN
18.0034,1911,6,HUN
21.4505,1911,7,HUN
21.0874,1911,8,HUN
16.3469,1911,9,HUN
10.5605,1911,10,HUN
7.3088,1911,11,HUN
2.21099,1911,12,HUN
-4.4915,1912,1,HUN
2.48391,1912,2,HUN
7.29032,1912,3,HUN
7.91006,1912,4,HUN
14.1292,1912,5,HUN
19.1823,1912,6,HUN
20.1234,1912,7,HUN
17.8601,1912,8,HUN
11.3359,1912,9,HUN
8.00763,1912,10,HUN
2.10898,1912,11,HUN
1.21864,1912,12,HUN
-2.8983,1913,1,HUN
-0.976,1913,2,HUN
7.29858,1913,3,HUN
10.0232,1913,4,HUN
14.101,1913,5,HUN
17.8369,1913,6,HUN
17.1398,1913,7,HUN
17.4361,1913,8,HUN
15.5472,1913,9,HUN
10.3934,1913,10,HUN
5.99665,1913,11,HUN
1.14142,1913,12,HUN
-6.1252,1914,1,HUN
-2.0506,1914,2,HUN
5.95357,1914,3,HUN
11.6523,1914,4,HUN
14.5549,1914,5,HUN
17.4527,1914,6,HUN
19.3941,1914,7,HUN
19.4254,1914,8,HUN
14.1566,1914,9,HUN
9.46557,1914,10,HUN
2.96383,1914,11,HUN
2.5822,1914,12,HUN
0.93302,1915,1,HUN
1.25577,1915,2,HUN
2.89682,1915,3,HUN
9.73549,1915,4,HUN
15.7835,1915,5,HUN
19.6875,1915,6,HUN
19.5425,1915,7,HUN
17.7099,1915,8,HUN
13.1677,1915,9,HUN
9.17245,1915,10,HUN
2.50306,1915,11,HUN
4.27532,1915,12,HUN
1.65493,1916,1,HUN
0.33306,1916,2,HUN
8.14179,1916,3,HUN
10.113,1916,4,HUN
15.0027,1916,5,HUN
17.6392,1916,6,HUN
19.8125,1916,7,HUN
18.9862,1916,8,HUN
14.363,1916,9,HUN
10.0005,1916,10,HUN
6.30035,1916,11,HUN
3.54586,1916,12,HUN
-1.0769,1917,1,HUN
-5.3872,1917,2,HUN
2.81977,1917,3,HUN
8.35835,1917,4,HUN
15.5017,1917,5,HUN
20.4237,1917,6,HUN
20.8286,1917,7,HUN
21.3713,1917,8,HUN
17.2742,1917,9,HUN
11.2697,1917,10,HUN
5.65701,1917,11,HUN
-2.0324,1917,12,HUN
0.22839,1918,1,HUN
-0.4231,1918,2,HUN
5.06926,1918,3,HUN
12.4442,1918,4,HUN
15.2708,1918,5,HUN
16.7139,1918,6,HUN
19.6634,1918,7,HUN
19.3988,1918,8,HUN
16.9224,1918,9,HUN
11.0826,1918,10,HUN
3.05383,1918,11,HUN
0.42261,1918,12,HUN
0.46359,1919,1,HUN
0.42729,1919,2,HUN
5.61797,1919,3,HUN
9.35797,1919,4,HUN
11.109,1919,5,HUN
17.5738,1919,6,HUN
18.2308,1919,7,HUN
19.0681,1919,8,HUN
17.5233,1919,9,HUN
9.34076,1919,10,HUN
3.12169,1919,11,HUN
0.10016,1919,12,HUN
1.29277,1920,1,HUN
1.07505,1920,2,HUN
7.03059,1920,3,HUN
13.7558,1920,4,HUN
16.9461,1920,5,HUN
16.8884,1920,6,HUN
20.7719,1920,7,HUN
18.3901,1920,8,HUN
15.9377,1920,9,HUN
7.16617,1920,10,HUN
0.05044,1920,11,HUN
1.05877,1920,12,HUN
3.0377,1921,1,HUN
0.31734,1921,2,HUN
6.62738,1921,3,HUN
9.88793,1921,4,HUN
16.6413,1921,5,HUN
17.0015,1921,6,HUN
21.2601,1921,7,HUN
20.8997,1921,8,HUN
15.182,1921,9,HUN
10.6953,1921,10,HUN
1.72884,1921,11,HUN
-0.8428,1921,12,HUN
-3.543,1922,1,HUN
-3.6991,1922,2,HUN
6.28197,1922,3,HUN
9.07159,1922,4,HUN
15.5397,1922,5,HUN
19.0691,1922,6,HUN
20.3535,1922,7,HUN
19.9068,1922,8,HUN
14.1567,1922,9,HUN
8.25847,1922,10,HUN
1.75957,1922,11,HUN
-0.1882,1922,12,HUN
0.13932,1923,1,HUN
0.53051,1923,2,HUN
5.8969,1923,3,HUN
9.05801,1923,4,HUN
16.8638,1923,5,HUN
15.6981,1923,6,HUN
20.8064,1923,7,HUN
19.9506,1923,8,HUN
16.4553,1923,9,HUN
13.4098,1923,10,HUN
6.89859,1923,11,HUN
-0.0364,1923,12,HUN
-5.1715,1924,1,HUN
-1.8204,1924,2,HUN
3.59572,1924,3,HUN
9.06953,1924,4,HUN
17.2861,1924,5,HUN
18.8596,1924,6,HUN
19.6624,1924,7,HUN
18.1468,1924,8,HUN
17.3195,1924,9,HUN
10.6433,1924,10,HUN
2.43315,1924,11,HUN
-0.8841,1924,12,HUN
-0.7377,1925,1,HUN
4.84743,1925,2,HUN
4.14835,1925,3,HUN
10.6455,1925,4,HUN
16.471,1925,5,HUN
16.8269,1925,6,HUN
20.0166,1925,7,HUN
19.2642,1925,8,HUN
14.2874,1925,9,HUN
10.5398,1925,10,HUN
5.25907,1925,11,HUN
-2.7634,1925,12,HUN
-1.1081,1926,1,HUN
4.02605,1926,2,HUN
4.37401,1926,3,HUN
11.9004,1926,4,HUN
14.6033,1926,5,HUN
17.1646,1926,6,HUN
19.4455,1926,7,HUN
17.7915,1926,8,HUN
16.6416,1926,9,HUN
11.5539,1926,10,HUN
10.3244,1926,11,HUN
0.33402,1926,12,HUN
0.81102,1927,1,HUN
-0.5006,1927,2,HUN
7.81358,1927,3,HUN
10.1429,1927,4,HUN
14.1649,1927,5,HUN
19.7601,1927,6,HUN
21.3233,1927,7,HUN
20.7021,1927,8,HUN
17.1611,1927,9,HUN
10.13,1927,10,HUN
5.48193,1927,11,HUN
-3.9029,1927,12,HUN
-1.6956,1928,1,HUN
0.53227,1928,2,HUN
3.20371,1928,3,HUN
10.9361,1928,4,HUN
12.5796,1928,5,HUN
17.6532,1928,6,HUN
23.0593,1928,7,HUN
20.8895,1928,8,HUN
16.4653,1928,9,HUN
10.5619,1928,10,HUN
7.11564,1928,11,HUN
-0.4836,1928,12,HUN
-5.5016,1929,1,HUN
-6.5235,1929,2,HUN
1.39241,1929,3,HUN
6.69849,1929,4,HUN
16.5365,1929,5,HUN
17.8051,1929,6,HUN
20.4014,1929,7,HUN
21.6061,1929,8,HUN
16.0972,1929,9,HUN
12.4053,1929,10,HUN
6.74994,1929,11,HUN
1.95315,1929,12,HUN
-0.6685,1930,1,HUN
0.44058,1930,2,HUN
6.81112,1930,3,HUN
11.5212,1930,4,HUN
14.5124,1930,5,HUN
20.5002,1930,6,HUN
20.4286,1930,7,HUN
19.429,1930,8,HUN
17.4419,1930,9,HUN
10.8664,1930,10,HUN
7.2892,1930,11,HUN
0.32755,1930,12,HUN
-0.7257,1931,1,HUN
0.87073,1931,2,HUN
1.64601,1931,3,HUN
8.13899,1931,4,HUN
17.8749,1931,5,HUN
20.5457,1931,6,HUN
22.1579,1931,7,HUN
19.8682,1931,8,HUN
12.5074,1931,9,HUN
9.53288,1931,10,HUN
4.02496,1931,11,HUN
-1.599,1931,12,HUN
-2.6947,1932,1,HUN
-4.9054,1932,2,HUN
0.63599,1932,3,HUN
10.0113,1932,4,HUN
15.9951,1932,5,HUN
17.5797,1932,6,HUN
22.2827,1932,7,HUN
21.1399,1932,8,HUN
19.4422,1932,9,HUN
12.4284,1932,10,HUN
4.37328,1932,11,HUN
0.25468,1932,12,HUN
-3.6729,1933,1,HUN
0.76763,1933,2,HUN
5.45141,1933,3,HUN
7.90423,1933,4,HUN
13.8755,1933,5,HUN
16.1153,1933,6,HUN
20.5001,1933,7,HUN
19.6565,1933,8,HUN
14.9729,1933,9,HUN
10.8734,1933,10,HUN
5.21116,1933,11,HUN
-5.0929,1933,12,HUN
-2.6133,1934,1,HUN
0.2555,1934,2,HUN
8.36916,1934,3,HUN
13.5621,1934,4,HUN
17.5625,1934,5,HUN
18.2365,1934,6,HUN
20.6464,1934,7,HUN
20.4377,1934,8,HUN
17.2706,1934,9,HUN
11.049,1934,10,HUN
6.7007,1934,11,HUN
3.81974,1934,12,HUN
-3.898,1935,1,HUN
-0.5337,1935,2,HUN
3.79105,1935,3,HUN
10.1641,1935,4,HUN
13.8237,1935,5,HUN
20.71,1935,6,HUN
20.5963,1935,7,HUN
19.8711,1935,8,HUN
